Name;Availability;Type;Miscellaneous;Link;comment
Wine Enthusiast;online;Expert Ratings;NA;https://github.com/zackthoutt/wine-deep-learning;150 k reviews sorted by 12 variables 
Stellenbosch Wine Mag;has to be scraped;Ratings;NA;https://www.r-bloggers.com/data-scientist-with-a-wine-hobby-part-i/;data sorted by 3 variables with date of review included from one region (Stellenbosch), code for scraper included
Wine Quality;has to be scraped;Chemical Components;NA;https://archive.ics.uci.edu/ml/machine-learning-databases/wine-quality/;two sets on vinho verde (red: 82 k, white: 258k), no reviews but data on chemical components
California State Fair Competition;has to be scraped;Expert Ratings;NA;http://www.castatefair.org/california-commercial-wine-competition-results-18/;2,5 k reviews somewhat similiar to winesearcher concerning the variables
Global Wine Database;has to be scraped;General;NA;http://www.gwdb.io/;"huge online database but not entirely transparent what information is included, free access includes ""unlimited wines"", no APIs and only 3 organizations (not specified by what that means), subscription (19$/month) includes APIs and more organizations"
Bordeaux;author;Expert Ratings;NA;http://www.wine-economics.org/aawe/wp-content/uploads/2016/06/Olivier-Bargain-History-matters-Gurus-too_-br-Standardized-expert-scores-of-Bordeaux-fine-wines-Chateau-reputati.pdf;68 k reviews of Bordeaux
Wine Spectator;author;Expert Ratings;NA;https://datascience.wine/2017/07/18/what-explains-the-price-of-wine/;22 k reviews from Wine Spectator: top rated (85-100) in 2016 only including vitage 2006 or older 
Vivivo;author;Novices Ratings;NA;https://nycdatascience.com/blog/student-works/web-scraping-analysis-wines-vivino-com/;16,5 k reviews sorted by 8 variables including number of reviews for each wine
Organoleptic Rating;author;Organoleptic Ratings;NA;https://link.springer.com/article/10.1134/S106193481611006X;330 observations 
Wine Tasting ;author;Ratings;NA;https://pdfs.semanticscholar.org/f969/cbe5d434a464236bfc9b69279f5324290c93.pdf;"no info on actual data set but must include reviews from what I've gathered in the paper; paper might be interesting because it adresses rating processes of wines and also comparison between critics etc."
Organic Wine;author;Expert Ratings;NA;https://www.ioes.ucla.edu/wp-content/uploads/Delmas-JWE-2016.pdf;74 k reviews from Wine Advocate, Wine Enthusiast and Wine Spectator
Wine Competition;author;Expert Ratings;NA;https://www.wine-economics.org/aawe/wp-content/uploads/2012/10/Vol.4-No.1-2009-An-Analysis-of-the-Concordance-Among-13-U.S.-Wine-Competitions.pdf;more than 4k wines in 13 different competitions
Wine Spectator and Wine Advocate;author;Expert Ratings;NA;https://www2.bc.edu/jonathan-reuter/research/reuter_JWE_2009.pdf;Wine Advocate and Wine Spectator Reviews that also include overlapping reviews for comparison
Wine Prices;author;Expert Ratings;NA;http://etd.fcla.edu/CF/CFH0004129/Neill_Kaitlin_D_201112_BSBA.pdf;147 observations from Wine Advocate and Wine Spectator
Bordeaux and Burgundy;author;Expert Ratings ;NA;https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=72&cad=rja&uact=8&ved=2ahUKEwjNq9zxsKPdAhVK2ywKHRUqBz44RhAWMAF6BAgHEAI&url=https%3A%2F%2Fwww6.versailles-grignon.inra.fr%2Faliss%2Fcontent%2Fdownload%2F3338%2F35605%2Ffile%2FWP04-01.pdf&usg=AOvVaw2oxZW2AFXmHjaahG9CkiEk;3 data sets about 1k reviews
Oenology;author;Oenologists Ratings;NA;http://www.minitab.com/en-us/Published-Articles/Wine-Tasting-by-Numbers--Using-Binary-Logistic-Regression-to-Reveal-the-Preferences-of-Experts/;no info on actual data sets but panel with own specific rating system (0 or 1) 
GH Cellar Wine Ratings;online;General;NA;https://data.gov.uk/dataset/f760008b-86d3-4bbb-89da-1dfe56101554/gh-wine-cellar-data;data from wine cellar from 2016 without ratings 